split,states,cov,n_iter,seed,features,n_params,ll_train,ll_train_per_obs,AIC,BIC,ll_val,ll_val_per_obs,ll_test,ll_test_per_obs,config_id
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",43,-2601783.963716126,-13.00891981858063,5203653.927432252,5204092.7885560095,-628065.9371857027,-12.561318743714054,-670091.5217612591,-13.40183043522518,st2_diag_rolling_std_1d-ret_log-range_hl-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",43,-2609499.0626790854,-13.047495313395427,5219084.125358171,5219522.986481928,-626597.1794169007,-12.531943588338015,-665344.3179989909,-13.306886359979817,st2_diag_rolling_std_1d-ret_log-range_hl-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",43,-2590839.062535741,-12.954195312678705,5181764.125071482,5182202.986195239,-626187.0291041359,-12.523740582082718,-673201.0443419759,-13.464020886839519,st2_diag_rolling_std_1d-ret_log-rolling_std_1h-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",133,-2531993.6118745343,-12.659968059372671,5064253.223749069,5065610.631410924,-613128.3773674568,-12.262567547349136,-660230.842670962,-13.204616853419239,st2_full_rolling_std_1d-ret_log-range_hl-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",43,-2613659.493285325,-13.068297466426625,5227404.98657065,5227843.847694407,-647894.4080902418,-12.957888161804837,-679931.1274537488,-13.598622549074976,st2_diag_rolling_std_1d-ret_log-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",133,-2566352.3525351137,-12.83176176267557,5132970.705070227,5134328.112732083,-638098.9973303397,-12.761979946606795,-677526.0130822441,-13.550520261644882,st2_full_rolling_std_1d-ret_log-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",133,-2552311.369529588,-12.76155684764794,5104888.739059176,5106246.1467210315,-611823.2649545146,-12.236465299090291,-649541.7575413396,-12.990835150826792,st2_full_rolling_std_1d-ret_log-range_hl-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",133,-2535647.358790948,-12.67823679395474,5071560.717581896,5072918.125243751,-615005.6378825258,-12.300112757650515,-663576.827009094,-13.271536540181879,st2_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",43,-2598997.4392790827,-12.994987196395414,5198080.878558165,5198519.739681923,-624458.0345746943,-12.489160691493886,-668433.463531187,-13.36866927062374,st2_diag_rolling_std_1d-ret_log-rolling_std_1h-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",43,-2559145.7999000363,-12.79572899950018,5118377.599800073,5118816.46092383,-625428.415830233,-12.508568316604661,-660430.4681684757,-13.208609363369513,st2_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
