states,cov,features,splits,ll_train_per_obs_mean,ll_train_per_obs_median,AIC_mean,BIC_mean,ll_val_per_obs_mean,ll_val_per_obs_median,ll_test_per_obs_mean,ll_test_per_obs_median,config_id
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'dist_max20', 'macd_signal', 'dow_sin', 'dow_cos', 'adx']",1,-4.669192296397341,-4.669192296397341,1868016.9185589363,1869751.9509086765,-4.216624353666504,-4.216624353666504,-5.199882961291803,-5.199882961291803,st3_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-dist_max20-macd_signal-dow_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'dist_max20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos']",1,-4.698518671785146,-4.698518671785146,1879747.4687140584,1881482.5010637986,-4.261412132027255,-4.261412132027255,-5.214690225947335,-5.214690225947335,st3_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-dist_max20-macd_signal-dow_sin-hour_sin-dow_cos
3,full,"['ret_log', 'range_hl', 'log_volume', 'dist_min20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-4.772530866341577,-4.772530866341577,1909352.3465366308,1911087.378886371,-4.375484089912445,-4.375484089912445,-4.961908874134192,-4.961908874134192,st3_full_ret_log-range_hl-log_volume-dist_min20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['ret_log', 'rolling_std_1h', 'log_volume', 'dist_max20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-4.812726389250033,-4.812726389250033,1925430.555700013,1927165.588049753,-4.387260461300202,-4.387260461300202,-5.116968708061084,-5.116968708061084,st3_full_ret_log-rolling_std_1h-log_volume-dist_max20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['ret_log', 'rolling_std_1h', 'log_volume', 'dist_min20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-4.8054861800364135,-4.8054861800364135,1922534.4720145655,1924269.5043643056,-4.422677696690297,-4.422677696690297,-5.127815991385233,-5.127815991385233,st3_full_ret_log-rolling_std_1h-log_volume-dist_min20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'hour_cos', 'dist_min20', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-4.860169719409353,-4.860169719409353,1944407.8877637414,1946142.9201134816,-4.438957256853163,-4.438957256853163,-5.175566008942409,-5.175566008942409,st3_full_rolling_std_1d-ret_log-rolling_std_1h-hour_cos-dist_min20-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'dist_min20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-5.917481946065491,-5.917481946065491,2367332.7784261964,2369067.8107759366,-5.175760075890031,-5.175760075890031,-6.074167798168487,-6.074167798168487,st3_full_rolling_std_1d-ret_log-rolling_std_1h-dist_min20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'log_volume', 'hour_cos', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-5.187575021625027,-5.187575021625027,2075370.008650011,2077105.040999751,-5.347768818831725,-5.347768818831725,-5.860885357516606,-5.860885357516606,st3_full_rolling_std_1d-ret_log-log_volume-hour_cos-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'dist_max20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-6.036365606705104,-6.036365606705104,2414952.2426820416,2417024.0754290842,-5.571869060567669,-5.571869060567669,-6.464850560014827,-6.464850560014827,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-dist_max20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'dist_min20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-6.05762424123171,-6.05762424123171,2423455.696492684,2425527.5292397267,-5.648967248103071,-5.648967248103071,-6.594429670530887,-6.594429670530887,st3_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-dist_min20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'hour_cos', 'dist_max20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos']",1,-7.640674894096916,-7.640674894096916,3056609.9576387666,3058344.989988507,-7.023625878847031,-7.023625878847031,-7.944508571204685,-7.944508571204685,st3_full_rolling_std_1d-ret_log-range_hl-hour_cos-dist_max20-macd_signal-dow_sin-hour_sin-dow_cos
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'dist_max20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.704760597881744,-7.704760597881744,3082244.239152698,3083979.271502438,-7.102117616020525,-7.102117616020525,-8.0610775673216,-8.0610775673216,st3_full_rolling_std_1d-ret_log-range_hl-dist_max20-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'dist_min20', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.720033335009932,-7.720033335009932,3088353.334003973,3090088.366353713,-7.146510654758151,-7.146510654758151,-8.065566459763158,-8.065566459763158,st3_full_rolling_std_1d-ret_log-range_hl-dist_min20-macd_signal-dow_sin-hour_sin-dow_cos-adx
